tag;patrones;respuestas;id
Dep.Acel.bienes físicos del activo inmovilizado Art.31 Inciso 4 N°5 Bis Inciso 2do (1/10 Depreciacion);Dep.Acel.bienes físicos del activo inmovilizado Art.31 Inciso 4 N°5 Bis Inciso 2do (1/10 Depreciacion);Dep.Acel.bienes físicos del activo inmovilizado Art.31 Inciso 4 N°5 Bis Inciso 2do (1/10 Depreciacion);5.01.05.20
Otros agregados o deducciones por Propiedades de Inversión;Otros agregados o deducciones por Propiedades de Inversión;Otros agregados o deducciones por Propiedades de Inversión;5.01.05.96
Otros agregados o deducciones por activos mantenidos para la venta;Otros agregados o deducciones por activos mantenidos para la venta;Otros agregados o deducciones por activos mantenidos para la venta;5.01.05.97
Otros agregados al resultado tributario por activo fijo;Otros agregados al resultado tributario por activo fijo;Otros agregados al resultado tributario por activo fijo;5.01.05.98
Otras deducciones al resultado tributario por activo fijo;Otras deducciones al resultado tributario por activo fijo;Otras deducciones al resultado tributario por activo fijo;5.01.05.99
Depreciación de activos en leasing;Depreciación de activos en leasing;Depreciación de activos en leasing;5.01.06.01
Intereses pagados por Leasing ;Intereses pagados por Leasing ;Intereses pagados por Leasing ;5.01.06.02
Reajustes por  Obligaciones por Leasing;Reajustes por  Obligaciones por Leasing;Reajustes por  Obligaciones por Leasing;5.01.06.03
Reajustes por Intereses Diferidos por Leasing;Reajustes por Intereses Diferidos por Leasing;Reajustes por Intereses Diferidos por Leasing;5.01.06.04
Cuotas pagadas por Leasing ;Cuotas pagadas por Leasing ;Cuotas pagadas por Leasing ;5.01.06.05
Cuotas anticipadas por Leasing ;Cuotas anticipadas por Leasing ;Cuotas anticipadas por Leasing ;5.01.06.06
Otros agregados al resultado tributario por  activos en leasing;Otros agregados al resultado tributario por  activos en leasing;Otros agregados al resultado tributario por  activos en leasing;5.01.06.98
Otras deducciones al resultado tributario por activos en leasing;Otras deducciones al resultado tributario por activos en leasing;Otras deducciones al resultado tributario por activos en leasing;5.01.06.99
Corr.mon. de los derechos de llave, pertenencias, concesiones mineras y otros. Art. 41 inciso 1 N°6;Corr.mon. de los derechos de llave, pertenencias, concesiones mineras y otros. Art. 41 inciso 1 N°7;Corr.mon. de los derechos de llave, pertenencias, concesiones mineras y otros. Art. 41 inciso 1 N°8;5.01.07.01
Corr.mon. de los gastos de organización y puesta en marcha, Art. 41 inciso 1 N°7;Corr.mon. de los gastos de organización y puesta en marcha, Art. 41 inciso 1 N°8;Corr.mon. de los gastos de organización y puesta en marcha, Art. 41 inciso 1 N°9;5.01.07.02
Corr.mon. de los costos y gastos diferidos. Art. 41 inciso 1 N°7;Corr.mon. de los costos y gastos diferidos. Art. 41 inciso 1 N°8;Corr.mon. de los costos y gastos diferidos. Art. 41 inciso 1 N°9;5.01.07.03
Amortización de derechos de llave, pertenencias y concesiones mineras (Valor Financiero);Amortización de derechos de llave, pertenencias y concesiones mineras (Valor Financiero);Amortización de derechos de llave, pertenencias y concesiones mineras (Valor Financiero);5.01.07.04
Amortización gastos de organización y puesta en marcha;Amortización gastos de organización y puesta en marcha;Amortización gastos de organización y puesta en marcha;5.01.07.05
Amortizacion de los costos y gastos diferidos. Art. 41 inciso 1 N°7;Amortizacion de los costos y gastos diferidos. Art. 41 inciso 1 N°8;Amortizacion de los costos y gastos diferidos. Art. 41 inciso 1 N°9;5.01.07.06
Otros agregados al resultado tributario por intangibles;Otros agregados al resultado tributario por intangibles;Otros agregados al resultado tributario por intangibles;5.01.07.98
Otras deducciones al resultado tributario por intangibles;Otras deducciones al resultado tributario por intangibles;Otras deducciones al resultado tributario por intangibles;5.01.07.99
Corr.mon. de las acciones de sociedades anónimas (SPA, FIP)  Art. 41 inciso 1 N°8;Corr.mon. de las acciones de sociedades anónimas (SPA, FIP)  Art. 41 inciso 1 N°9;Corr.mon. de las acciones de sociedades anónimas (SPA, FIP)  Art. 41 inciso 1 N°10;5.01.08.01
Corr.mon. de los aportes en sociedades de personas. Art. 41 inciso 1 N°9;Corr.mon. de los aportes en sociedades de personas. Art. 41 inciso 1 N°10;Corr.mon. de los aportes en sociedades de personas. Art. 41 inciso 1 N°11;5.01.08.02
Corr.Mon.derechos Moneda Extranjera art.41 N°4  (agencias);Corr.Mon.derechos Moneda Extranjera art.41 N°4  (agencias);Corr.Mon.derechos Moneda Extranjera art.41 N°4  (agencias);5.01.08.03
Resultado devengado en sociedades situadas en Chile;Resultado devengado en sociedades situadas en Chile;Resultado devengado en sociedades situadas en Chile;5.01.08.04
Resultado devengado en sociedades situadas en el Exterior;Resultado devengado en sociedades situadas en el Exterior;Resultado devengado en sociedades situadas en el Exterior;5.01.08.05
Resultado devengado en Agencia u otro establecimiento permanente;Resultado devengado en Agencia u otro establecimiento permanente;Resultado devengado en Agencia u otro establecimiento permanente;5.01.08.06
Resultado por Enajenación Inversiones en otras Entidades según registros contables ;Resultado por Enajenación Inversiones en otras Entidades según registros contables ;Resultado por Enajenación Inversiones en otras Entidades según registros contables ;5.01.08.07
Resultado por Enajenación Inversiones en otras Entidades a Valor Tributario;Resultado por Enajenación Inversiones en otras Entidades a Valor Tributario;Resultado por Enajenación Inversiones en otras Entidades a Valor Tributario;5.01.08.08
Otros agregados al resultado tributario por Inversiones en otras Entidades;Otros agregados al resultado tributario por Inversiones en otras Entidades;Otros agregados al resultado tributario por Inversiones en otras Entidades;5.01.08.98
Otras deducciones al resultado tributario por inversiones en otras Entidades;Otras deducciones al resultado tributario por inversiones en otras Entidades;Otras deducciones al resultado tributario por inversiones en otras Entidades;5.01.08.99
Deteriorio por Goodwill;Deteriorio por Goodwill;Deteriorio por Goodwill;5.01.09.01
Corr.Mon.Goodwill en relacion Art.31 inciso 4 N°9 ;Corr.Mon.Goodwill en relacion Art.31 inciso 4 N°10;Corr.Mon.Goodwill en relacion Art.31 inciso 4 N°11;5.01.09.02
Amortización menor valor tributario en fusión Art.31 inciso 4 N°9;Amortización menor valor tributario en fusión Art.31 inciso 4 N°10;Amortización menor valor tributario en fusión Art.31 inciso 4 N°11;5.01.09.03
Corr.Mon.Mayor valor tributario en fusión Art.15;Corr.Mon.Mayor valor tributario en fusión Art.16;Corr.Mon.Mayor valor tributario en fusión Art.17;5.01.09.04
Ingreso por mayor valor tributario en fusión Art.15;Ingreso por mayor valor tributario en fusión Art.16;Ingreso por mayor valor tributario en fusión Art.17;5.01.09.05
Corr.Mon. Intangible por Goodwill en relacion Art.31 inciso 4 N°9 (Ley 20.780);Corr.Mon. Intangible por Goodwill en relacion Art.31 inciso 4 N°9 (Ley 20.780);Corr.Mon. Intangible por Goodwill en relacion Art.31 inciso 4 N°9 (Ley 20.780);5.01.09.06
Otros agregados al resultado tributario por Goodwil y/o Badwill;Otros agregados al resultado tributario por Goodwil y/o Badwill;Otros agregados al resultado tributario por Goodwil y/o Badwill;5.01.09.98
Otras deducciones al resultado tributario por Goodwil y/o Badwill;Otras deducciones al resultado tributario por Goodwil y/o Badwill;Otras deducciones al resultado tributario por Goodwil y/o Badwill;5.01.09.99
Corr.mon. de los bienes físicos del activo inmovilizado (entregados en leasing) . Art. 41 inciso 1 N°2;Corr.mon. de los bienes físicos del activo inmovilizado (entregados en leasing) . Art. 41 inciso 1 N°3;Corr.mon. de los bienes físicos del activo inmovilizado (entregados en leasing) . Art. 41 inciso 1 N°4;5.01.10.01
Ingreso por cuotas percibidas por leasing;Ingreso por cuotas percibidas por leasing;Ingreso por cuotas percibidas por leasing;5.01.10.02
Ingreso por cuotas devengadas por leasing;Ingreso por cuotas devengadas por leasing;Ingreso por cuotas devengadas por leasing;5.01.10.03
Ingreso por Intereses por leasing según registros contables;Ingreso por Intereses por leasing según registros contables;Ingreso por Intereses por leasing según registros contables;5.01.10.04
Ingreso Tributario por Seguros Devengados por Bienes Siniestrados ;Ingreso Tributario por Seguros Devengados por Bienes Siniestrados ;Ingreso Tributario por Seguros Devengados por Bienes Siniestrados ;5.01.10.05
Resultado por reajustes por leasing según registros contables;Resultado por reajustes por leasing según registros contables;Resultado por reajustes por leasing según registros contables;5.01.10.06
Estimación deudores incobrables por leasing;Estimación deudores incobrables por leasing;Estimación deudores incobrables por leasing;5.01.10.07
Depreciación Normal bienes entregados en  leasing (valor tributario);Depreciación Normal bienes entregados en  leasing (valor tributario);Depreciación Normal bienes entregados en  leasing (valor tributario);5.01.10.08
Depreciación Acelerada bienes entregados en  leasing (valor tributario);Depreciación Acelerada bienes entregados en  leasing (valor tributario);Depreciación Acelerada bienes entregados en  leasing (valor tributario);5.01.10.09
Otros ingresos por leasing según registros contables;Otros ingresos por leasing según registros contables;Otros ingresos por leasing según registros contables;5.01.10.10
Costo Venta Bienes entregados en Leasing  (al término del contrato);Costo Venta Bienes entregados en Leasing  (al término del contrato);Costo Venta Bienes entregados en Leasing  (al término del contrato);5.01.10.11
Costo Venta Bienes entregados en Leasing (anticipado o cedido);Costo Venta Bienes entregados en Leasing (anticipado o cedido);Costo Venta Bienes entregados en Leasing (anticipado o cedido);5.01.10.12
Gastos relacionados con Leasing, (Notariales, seguros, entre otros);Gastos relacionados con Leasing, (Notariales, seguros, entre otros);Gastos relacionados con Leasing, (Notariales, seguros, entre otros);5.01.10.13
Otros agregados al resultado tributario por  bienes entregados  en leasing;Otros agregados al resultado tributario por  bienes entregados  en leasing;Otros agregados al resultado tributario por  bienes entregados  en leasing;5.01.10.98
Otras deducciones al resultado tributario por activos bienes entregados en leasing;Otras deducciones al resultado tributario por activos bienes entregados en leasing;Otras deducciones al resultado tributario por activos bienes entregados en leasing;5.01.10.99
Ajuste tasa efectiva en obligaciones con bancos;Ajuste tasa efectiva en obligaciones con bancos;Ajuste tasa efectiva en obligaciones con bancos;5.01.11.01
Gastos diferidos por obligaciones con bancos;Gastos diferidos por obligaciones con bancos;Gastos diferidos por obligaciones con bancos;5.01.11.02
Menor Valor en Colocacion de Bonos;Menor Valor en Colocacion de Bonos;Menor Valor en Colocacion de Bonos;5.01.11.03
Corrección monetaria Menor Valor Bonos;Corrección monetaria Menor Valor Bonos;Corrección monetaria Menor Valor Bonos;5.01.11.04
Amortizacion Menor Valor Bonos;Amortizacion Menor Valor Bonos;Amortizacion Menor Valor Bonos;5.01.11.05
Gastos diferidos por Colocacion de Bonos;Gastos diferidos por Colocacion de Bonos;Gastos diferidos por Colocacion de Bonos;5.01.11.06
Corrección monetaria Gastos Diferidos por Colocacion de Bonos;Corrección monetaria Gastos Diferidos por Colocacion de Bonos;Corrección monetaria Gastos Diferidos por Colocacion de Bonos;5.01.11.07
Amortización Gastos diferidos por Colocacion de Bonos;Amortización Gastos diferidos por Colocacion de Bonos;Amortización Gastos diferidos por Colocacion de Bonos;5.01.11.08
Ajuste a Valor de Mercado por Bonos emitidos ;Ajuste a Valor de Mercado por Bonos emitidos ;Ajuste a Valor de Mercado por Bonos emitidos ;5.01.11.09
Intereses Financieros por Bonos Emitidos;Intereses Financieros por Bonos Emitidos;Intereses Financieros por Bonos Emitidos;5.01.11.10
Intereses a Valor Tributario por Bonos Emitidos;Intereses a Valor Tributario por Bonos Emitidos;Intereses a Valor Tributario por Bonos Emitidos;5.01.11.11
Otros agregados al resultado tributario por bonos emitidos;Otros agregados al resultado tributario por bonos emitidos;Otros agregados al resultado tributario por bonos emitidos;5.01.11.98
Otros deducciones al resultado tributario por bonos emitidos;Otros deducciones al resultado tributario por bonos emitidos;Otros deducciones al resultado tributario por bonos emitidos;5.01.11.99
Provisión Impuesto Renta 1a Categoría;Provisión Impuesto Renta 1a Categoría;Provisión Impuesto Renta 1a Categoría;5.01.12.01
Provisión Impuesto Único Artículo 21 (40%);Provisión Impuesto Único Artículo 21 (40%);Provisión Impuesto Único Artículo 21 (40%);5.01.12.02
Provisión Impuesto a la actividad Minera;Provisión Impuesto a la actividad Minera;Provisión Impuesto a la actividad Minera;5.01.12.03
Provisión Impuesto Único Empresa Estatal;Provisión Impuesto Único Empresa Estatal;Provisión Impuesto Único Empresa Estatal;5.01.12.04
Impuesto Diferido ;Impuesto Diferido ;Impuesto Diferido ;5.01.12.06
Otras Provisiones por Impuestos;Otras Provisiones por Impuestos;Otras Provisiones por Impuestos;5.01.12.99
Provisión Vacaciones ;Provisión Vacaciones ;Provisión Vacaciones ;5.01.13.01
Provisión Gratificaciones;Provisión Gratificaciones;Provisión Gratificaciones;5.01.13.02
Indemnización años de Servicios  Valor Financiero;Indemnización años de Servicios  Valor Financiero;Indemnización años de Servicios  Valor Financiero;5.01.13.03
Indemnización años de Servicios  Valor Tributario;Indemnización años de Servicios  Valor Tributario;Indemnización años de Servicios  Valor Tributario;5.01.13.04
Provisión por Bonos Metas, Bono Eficiencia, (entre otros);Provisión por Bonos Metas, Bono Eficiencia, (entre otros);Provisión por Bonos Metas, Bono Eficiencia, (entre otros);5.01.13.05
Pagos Basados en Acciones;Pagos Basados en Acciones;Pagos Basados en Acciones;5.01.13.06
Provisiones por Beneficios Definidos;Provisiones por Beneficios Definidos;Provisiones por Beneficios Definidos;5.01.13.98
Otras Provisiones por Beneficios Empleados;Otras Provisiones por Beneficios Empleados;Otras Provisiones por Beneficios Empleados;5.01.13.99
Provisión Gastos Por Pagar;Provisión Gastos Por Pagar;Provisión Gastos Por Pagar;5.01.14.01
Provisión Otras Eventualidades ;Provisión Otras Eventualidades ;Provisión Otras Eventualidades ;5.01.14.02
Provisión Juicio Laboral;Provisión Juicio Laboral;Provisión Juicio Laboral;5.01.14.03
Provisiones Adicionales;Provisiones Adicionales;Provisiones Adicionales;5.01.14.04
Provisiones Riesgo Pais;Provisiones Riesgo Pais;Provisiones Riesgo Pais;5.01.14.05
Otras Provisiones;Otras Provisiones;Otras Provisiones;5.01.14.99
Corr.mon. del capital propio, Art. 41 inciso 1 N°1;Corr.mon. del capital propio, Art. 41 inciso 1 N°2;Corr.mon. del capital propio, Art. 41 inciso 1 N°3;5.01.15.01
Corr.mon. del capital propio, aumentos Art. 41 inciso 1 N°1;Corr.mon. del capital propio, aumentos Art. 41 inciso 1 N°2;Corr.mon. del capital propio, aumentos Art. 41 inciso 1 N°3;5.01.15.02
Corr.mon. del capital propio, disminuciones de capital. Art. 41 inciso 1 N°1;Corr.mon. del capital propio, disminuciones de capital. Art. 41 inciso 1 N°2;Corr.mon. del capital propio, disminuciones de capital. Art. 41 inciso 1 N°3;5.01.15.03
Resultado por contrato de Promesa de Venta según registro contable;Resultado por contrato de Promesa de Venta según registro contable;Resultado por contrato de Promesa de Venta según registro contable;5.01.20.01
Resultado por contrato de Suma Alzada según registro contable;Resultado por contrato de Suma Alzada según registro contable;Resultado por contrato de Suma Alzada según registro contable;5.01.20.02
Resultado por contrato de Obra de uso público según registro contable;Resultado por contrato de Obra de uso público según registro contable;Resultado por contrato de Obra de uso público según registro contable;5.01.20.03
Resultado por contrato de Promesa de Venta a valor tributario;Resultado por contrato de Promesa de Venta a valor tributario;Resultado por contrato de Promesa de Venta a valor tributario;5.01.20.04
Resultado por contrato de Suma Alzada a valor tributario;Resultado por contrato de Suma Alzada a valor tributario;Resultado por contrato de Suma Alzada a valor tributario;5.01.20.05
Resultado por contrato de Obra de uso público a valor tributario;Resultado por contrato de Obra de uso público a valor tributario;Resultado por contrato de Obra de uso público a valor tributario;5.01.20.06
Otros agregados al resultado tributario por contratos de construcción;Otros agregados al resultado tributario por contratos de construcción;Otros agregados al resultado tributario por contratos de construcción;5.01.20.98
Otras deducciones al resultado tributario por contrato de construcción;Otras deducciones al resultado tributario por contrato de construcción;Otras deducciones al resultado tributario por contrato de construcción;5.01.20.99
INR por enajenación de instrumentos de deuda de oferta pública Art.104 LIR ;INR por enajenación de instrumentos de deuda de oferta pública Art.104 LIR ;INR por enajenación de instrumentos de deuda de oferta pública Art.104 LIR ;5.03.01.01
INR por enajenación de valores Art.107 LIR ;INR por enajenación de valores Art.107 LIR ;INR por enajenación de valores Art.107 LIR ;5.03.01.02
INR provenientes de la explotación de bienes raices no agricolas D.F.L.N°2;INR provenientes de la explotación de bienes raices no agricolas D.F.L.N°3;INR provenientes de la explotación de bienes raices no agricolas D.F.L.N°4;5.03.01.03
Costo Directo INR por enajenación de instrumentos de deuda de oferta pública Art.104 LIR ;Costo Directo INR por enajenación de instrumentos de deuda de oferta pública Art.104 LIR ;Costo Directo INR por enajenación de instrumentos de deuda de oferta pública Art.104 LIR ;5.03.01.04
Costo Directo INR por enajenación de valores Art.107 LIR ;Costo Directo INR por enajenación de valores Art.107 LIR ;Costo Directo INR por enajenación de valores Art.107 LIR ;5.03.01.05
Costo Directo INR provenientes de la explotación de bienes raices no agricolas D.F.L.N°2;Costo Directo INR provenientes de la explotación de bienes raices no agricolas D.F.L.N°3;Costo Directo INR provenientes de la explotación de bienes raices no agricolas D.F.L.N°4;5.03.01.06
Gastos Utilización Común INR por enajenación de instrumentos de deuda de oferta pública Art.104 LIR ;Gastos Utilización Común INR por enajenación de instrumentos de deuda de oferta pública Art.104 LIR ;Gastos Utilización Común INR por enajenación de instrumentos de deuda de oferta pública Art.104 LIR ;5.03.01.07
Gastos Utilización Común INR por enajenación de valores Art.107 LIR ;Gastos Utilización Común INR por enajenación de valores Art.107 LIR ;Gastos Utilización Común INR por enajenación de valores Art.107 LIR ;5.03.01.08
Gastos Utilización Común INR provenientes de la explotación de bienes raices no agricolas D.F.L.N°2;Gastos Utilización Común INR provenientes de la explotación de bienes raices no agricolas D.F.L.N°3;Gastos Utilización Común INR provenientes de la explotación de bienes raices no agricolas D.F.L.N°4;5.03.01.09
Otros INR;Otros INR;Otros INR;5.03.01.10
Otros Costos Directos INR;Otros Costos Directos INR;Otros Costos Directos INR;5.03.01.98
Otros Gastos Utilización Común;Otros Gastos Utilización Común;Otros Gastos Utilización Común;5.03.01.99
Rentas o ingresos exentos de primera categoría;Rentas o ingresos exentos de primera categoría;Rentas o ingresos exentos de primera categoría;5.03.02.01
Costos directos asociados a REX de primera categoría;Costos directos asociados a REX de primera categoría;Costos directos asociados a REX de primera categoría;5.03.02.02
Gastos Utilización Común a REX;Gastos Utilización Común a REX;Gastos Utilización Común a REX;5.03.02.03
Corr.mon. de los créditos o derechos en moneda extranjera o reajustables. Art. 41 inciso 1 N°4;Corr.mon. de los créditos o derechos en moneda extranjera o reajustables. Art. 41 inciso 1 N°5;Corr.mon. de los créditos o derechos en moneda extranjera o reajustables. Art. 41 inciso 1 N°6;5.03.04.01
Corr.mon. de monedas extranjeras y de oro. Art. 41 inciso 1 N°5;Corr.mon. de monedas extranjeras y de oro. Art. 41 inciso 1 N°6;Corr.mon. de monedas extranjeras y de oro. Art. 41 inciso 1 N°7;5.03.04.02
Corr.mon. de deudas u obligaciones en moneda extranjera o reajustables. Art. 41 inciso 1 N°10;Corr.mon. de deudas u obligaciones en moneda extranjera o reajustables. Art. 41 inciso 1 N°11;Corr.mon. de deudas u obligaciones en moneda extranjera o reajustables. Art. 41 inciso 1 N°12;5.03.04.03
Corrección monetaria cierre de faenas mineras (Ley 20.551);Corrección monetaria cierre de faenas mineras (Ley 20.551);Corrección monetaria cierre de faenas mineras (Ley 20.551);5.03.04.04
Ingresos de explotación Artículos 15 / 29 LIR  ( Valor Tributario);Ingresos de explotación Artículos 15 / 29 LIR  ( Valor Tributario);Ingresos de explotación Artículos 15 / 29 LIR  ( Valor Tributario);5.03.04.05
PPUA  ;PPUA  ;PPUA  ;5.03.04.06
Deduccion 50% RLI (14 ter letra C);Deduccion 50% RLI (14 ter letra C);Deduccion 50% RLI (14 ter letra C);5.03.04.20
Reposición 14 ter letra C);Reposición 14 ter letra C);Reposición 14 ter letra C);5.03.04.21
Rentas Pasivas devengadas;Rentas Pasivas devengadas;Rentas Pasivas devengadas;5.03.04.40
Otros agregados al resultado tributario ;Otros agregados al resultado tributario ;Otros agregados al resultado tributario ;5.03.04.98
Otras deducciones al resultado tributario ;Otras deducciones al resultado tributario ;Otras deducciones al resultado tributario ;5.03.04.99
Contribuciones Bienes Raices;Contribuciones Bienes Raices;Contribuciones Bienes Raices;5.03.05.01
Gastos No Documentados;Gastos No Documentados;Gastos No Documentados;5.03.05.02
Gastos por Donaciones Rechazadas;Gastos por Donaciones Rechazadas;Gastos por Donaciones Rechazadas;5.03.05.04
Gastos por Automóvil, Station Wagon y Similares;Gastos por Automóvil, Station Wagon y Similares;Gastos por Automóvil, Station Wagon y Similares;5.03.05.05
Gasto por Intereses, Reajustes y Multas Fiscales;Gasto por Intereses, Reajustes y Multas Fiscales;Gasto por Intereses, Reajustes y Multas Fiscales;5.03.05.13
Gasto por 'Impuesto de Primera Categoría;Gasto por 'Impuesto de Primera Categoría;Gasto por 'Impuesto de Primera Categoría;5.03.05.14
Gasto por 'Reajustes Art.72 LIR;Gasto por 'Reajustes Art.72 LIR;Gasto por 'Reajustes Art.72 LIR;5.03.05.15
Otras partidas  que disminuyeron la renta líquida declarada clasificados en la letra b) a g) del N°1 art 33 LIR;Otras partidas  que disminuyeron la renta líquida declarada clasificados en la letra b) a g) del N°1 art 33 LIR;Otras partidas  que disminuyeron la renta líquida declarada clasificados en la letra b) a g) del N°1 art 33 LIR;5.03.05.98
Otras Partidas segun inciso 2° art 21 LIR;Otras Partidas segun inciso 2° art 21 LIR;Otras Partidas segun inciso 2° art 21 LIR;5.03.05.99
Pérdida Tributaria de Arrastre actualizada ;Pérdida Tributaria de Arrastre actualizada ;Pérdida Tributaria de Arrastre actualizada ;5.04.01.01
